0006| 2021/09/30 20:27:36,129| Fin tampon, mont�e As

0007| 2021/09/30 20:27:54,129| 270nm AlGaAs 92%

0008| 2021/09/30 20:44:06,128| 76.47nm GaAs

0009| 2021/09/30 20:48:41,421| 89.06nm AlGaAs 92%

0010| 2021/09/30 20:54:02,036| 76.47nm GaAs

0011| 2021/09/30 20:58:37,328| 89.06nm AlGaAs 92%

0012| 2021/09/30 21:03:57,944| 76.47nm GaAs

0013| 2021/09/30 21:08:33,236| 89.06nm AlGaAs 92%

0014| 2021/09/30 21:13:53,853| 76.47nm GaAs

0015| 2021/09/30 21:18:29,144| 89.06nm AlGaAs 92%

0016| 2021/09/30 21:23:49,760| 76.47nm GaAs

0017| 2021/09/30 21:28:25,053| 89.06nm AlGaAs 92%

0018| 2021/09/30 21:33:45,668| 76.47nm GaAs

0019| 2021/09/30 21:38:20,961| 89.06nm AlGaAs 92%

0020| 2021/09/30 21:43:41,577| 76.47nm GaAs

0021| 2021/09/30 21:48:16,868| 89.06nm AlGaAs 92%

0022| 2021/09/30 21:53:37,485| 76.47nm GaAs

0023| 2021/09/30 21:58:12,776| 89.06nm AlGaAs 92%

0024| 2021/09/30 22:03:33,392| 76.47nm GaAs

0025| 2021/09/30 22:08:08,684| 89.06nm AlGaAs 92%

0026| 2021/09/30 22:13:29,301| 76.47nm GaAs

0027| 2021/09/30 22:18:04,593| 89.06nm AlGaAs 92%

0028| 2021/09/30 22:23:25,209| 76.47nm GaAs

0029| 2021/09/30 22:28:00,500| 89.06nm AlGaAs 92%

0030| 2021/09/30 22:33:21,117| 76.47nm GaAs

0031| 2021/09/30 22:37:56,408| 89.06nm AlGaAs 92%

0032| 2021/09/30 22:43:17,024| 76.47nm GaAs

0033| 2021/09/30 22:47:52,316| 89.06nm AlGaAs 92%

0034| 2021/09/30 22:53:12,932| 76.47nm GaAs

0035| 2021/09/30 22:57:48,224| 89.06nm AlGaAs 92%

0036| 2021/09/30 23:03:08,841| 76.47nm GaAs

0037| 2021/09/30 23:07:44,132| 89.06nm AlGaAs 92%

0038| 2021/09/30 23:13:04,750| 76.47nm GaAs

0039| 2021/09/30 23:17:40,040| 89.06nm AlGaAs 92%

0040| 2021/09/30 23:23:00,656| 76.47nm GaAs

0041| 2021/09/30 23:27:35,949| 89.06nm AlGaAs 92%

0042| 2021/09/30 23:32:56,565| 76.47nm GaAs

0043| 2021/09/30 23:37:31,857| 89.06nm AlGaAs 92%

0044| 2021/09/30 23:42:52,472| 76.47nm GaAs

0045| 2021/09/30 23:47:27,765| 89.06nm AlGaAs 92%

0046| 2021/09/30 23:52:48,381| 76.47nm GaAs

0047| 2021/09/30 23:57:23,672| 89.06nm AlGaAs 92%

0048| 2021/10/01 00:02:44,288| 76.47nm GaAs

0049| 2021/10/01 00:07:19,580| 89.06nm AlGaAs 92%

0050| 2021/10/01 00:12:40,196| 76.47nm GaAs

0051| 2021/10/01 00:17:15,488| 89.06nm AlGaAs 92%

0052| 2021/10/01 00:22:36,104| 76.47nm GaAs

0053| 2021/10/01 00:27:11,396| 89.06nm AlGaAs 92%

0054| 2021/10/01 00:32:32,013| 76.47nm GaAs

0055| 2021/10/01 00:37:07,304| 89.06nm AlGaAs 92%

0056| 2021/10/01 00:42:27,921| 76.47nm GaAs

0057| 2021/10/01 00:47:03,212| 89.06nm AlGaAs 92%

0058| 2021/10/01 00:52:23,829| 76.47nm GaAs

0059| 2021/10/01 00:56:59,121| 89.06nm AlGaAs 92%

